stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6136,52476,"86th Avenue", ,37.752353,-122.176414,E,https://www.actransit.org/stop/52476, , , ,0
6137,52478,"86th Avenue", ,37.752258,-122.176386,E,https://www.actransit.org/stop/52478, , , ,0
6138,52482,"82nd Avenue", ,37.755763,-122.179821,E,https://www.actransit.org/stop/52482, , , ,0
6139,52484,"82nd Avenue", ,37.755697,-122.179737,E,https://www.actransit.org/stop/52484, , , ,0
6140,52485,"77th Avenue", ,37.758101,-122.184737,E,https://www.actransit.org/stop/52485, , , ,0
6141,52487,"77th Avenue", ,37.758032,-122.184650,E,https://www.actransit.org/stop/52487, , , ,0
6142,52489,"73rd Avenue", ,37.759900,-122.188523,E,https://www.actransit.org/stop/52489, , , ,0
6143,52492,"73rd Avenue", ,37.759805,-122.188380,E,https://www.actransit.org/stop/52492, , , ,0
6144,52494,"67th Avenue", ,37.761370,-122.191592,E,https://www.actransit.org/stop/52494, , , ,0
6145,52495,"67th Avenue", ,37.761301,-122.191508,E,https://www.actransit.org/stop/52495, , , ,0
6146,52498,"63rd Avenue", ,37.763503,-122.196132,E,https://www.actransit.org/stop/52498, , , ,0
6147,52503,"63rd Avenue", ,37.763436,-122.196046,E,https://www.actransit.org/stop/52503, , , ,0
6148,52504,"Seminary", ,37.765657,-122.200637,E,https://www.actransit.org/stop/52504, , , ,0
6149,52506,"Seminary", ,37.765590,-122.200553,E,https://www.actransit.org/stop/52506, , , ,0
6150,52507,"48th Avenue", ,37.769644,-122.209132,E,https://www.actransit.org/stop/52507, , , ,0
6151,52508,"48th Avenue", ,37.769574,-122.209049,E,https://www.actransit.org/stop/52508, , , ,0
6152,52509,"High Street", ,37.771643,-122.213326,E,https://www.actransit.org/stop/52509, , , ,0
6153,52513,"High Street", ,37.771538,-122.213176,E,https://www.actransit.org/stop/52513, , , ,0
6154,52514,"28th Avenue", ,37.780067,-122.230334,E,https://www.actransit.org/stop/52514, , , ,0
6155,52516,"28th Avenue", ,37.779959,-122.230205,E,https://www.actransit.org/stop/52516, , , ,0
6156,52517,"24th Avenue", ,37.782621,-122.234602,E,https://www.actransit.org/stop/52517, , , ,0
6157,52518,"24th Avenue", ,37.782547,-122.234526,E,https://www.actransit.org/stop/52518, , , ,0
6158,52519,"20th Avenue", ,37.785698,-122.239742,E,https://www.actransit.org/stop/52519, , , ,0
6159,52531,"20th Avenue", ,37.785624,-122.239667,E,https://www.actransit.org/stop/52531, , , ,0
6160,52536,"14th Avenue NB", ,37.789312,-122.245784,E,https://www.actransit.org/stop/52536, , , ,0
6161,52537,"14th Avenue SB", ,37.788785,-122.246421,E,https://www.actransit.org/stop/52537, , , ,0
6162,52538,"10th Avenue NB", ,37.791956,-122.249475,E,https://www.actransit.org/stop/52538, , , ,0
6163,52539,"10th Avenue SB", ,37.790419,-122.249667,E,https://www.actransit.org/stop/52539, , , ,0
6164,52541,"San Leandro BART", ,37.721569,-122.160166,E,https://www.actransit.org/stop/52541, , , ,0
6165,52546,"5th Avenue SB", ,37.793694,-122.253360,E,https://www.actransit.org/stop/52546, , , ,0
6166,52547,"5th Avenue NB", ,37.795996,-122.254033,E,https://www.actransit.org/stop/52547, , , ,0
6167,52548,"2nd Avenue SB", ,37.796971,-122.257103,E,https://www.actransit.org/stop/52548, , , ,0
6168,52549,"2nd Avenue NB", ,37.797826,-122.256110,E,https://www.actransit.org/stop/52549, , , ,0
6169,52571,"Madison NB", ,37.800104,-122.264642,E,https://www.actransit.org/stop/52571, , , ,0
6170,52573,"Madison SB", ,37.799508,-122.265638,E,https://www.actransit.org/stop/52573, , , ,0
6171,52574,"Uptown Oakland NB", ,37.807371,-122.269191,E,https://www.actransit.org/stop/52574, , , ,0
6172,52579,"Uptown Oakland SB", ,37.808537,-122.268681,E,https://www.actransit.org/stop/52579, , , ,0
6173,52581,"14th Street NB", ,37.804576,-122.270895,E,https://www.actransit.org/stop/52581, , , ,0
6174,52583,"14th Street SB", ,37.804092,-122.271487,E,https://www.actransit.org/stop/52583, , , ,0
6175,52584,"City Center NB", ,37.802815,-122.271508,E,https://www.actransit.org/stop/52584, , , ,0
6176,52586,"City Center SB", ,37.801890,-122.271797,E,https://www.actransit.org/stop/52586, , , ,0
6177,52591,"Harrison SB", ,37.800431,-122.267992,E,https://www.actransit.org/stop/52591, , , ,0
6178,52593,"Harrison NB", ,37.801928,-122.269405,E,https://www.actransit.org/stop/52593, , , ,0
6179,52594,"31st  Avenue", ,37.778128,-122.226931,E,https://www.actransit.org/stop/52594, , , ,0
6180,52596,"31st  Avenue", ,37.778071,-122.226842,E,https://www.actransit.org/stop/52596, , , ,0
6181,52597,"Fruitvale", ,37.776536,-122.223580,E,https://www.actransit.org/stop/52597, , , ,0
6182,52601,"Fruitvale", ,37.776438,-122.223443,E,https://www.actransit.org/stop/52601, , , ,0
6183,52602,"39th Avenue", ,37.774503,-122.219345,E,https://www.actransit.org/stop/52602, , , ,0
6184,52605,"39th Avenue", ,37.774450,-122.219282,E,https://www.actransit.org/stop/52605, , , ,0
6185,52606,"54th Avenue", ,37.768075,-122.205828,E,https://www.actransit.org/stop/52606, , , ,0
6186,52615,"54th Avenue", ,37.768014,-122.205743,E,https://www.actransit.org/stop/52615, , , ,0
6187,52642,"12th St & Franklin St", ,37.802687,-122.271113,E,https://www.actransit.org/stop/52642, , , ,0
6188,52674,"International Blvd & 11th Av", ,37.791585,-122.249001,E,https://www.actransit.org/stop/52674, , , ,0
6189,52853,"Paseo Padre Pkwy & S Grimmer Blvd", ,37.507137,-121.928231,E,https://www.actransit.org/stop/52853, , , ,0
6190,52857,"Paseo Padre Pkwy & S Grimmer Blvd", ,37.507103,-121.928485,E,https://www.actransit.org/stop/52857, , , ,0
6191,52859,"Paseo Padre Pkwy & Onondaga Way", ,37.505303,-121.926860,E,https://www.actransit.org/stop/52859, , , ,0
6192,52862,"Paseo Padre Pkwy & Mission Blvd", ,37.500486,-121.919960,E,https://www.actransit.org/stop/52862, , , ,0
6193,52867,"Grimmer Blvd & Fremont Blvd", ,37.536189,-121.965537,E,https://www.actransit.org/stop/52867, , , ,0
6194,52868,"Washington Blvd & Fremont Blvd", ,37.532933,-121.958819,E,https://www.actransit.org/stop/52868, , , ,0
6195,52871,"Fremont Blvd & Carol Av", ,37.527667,-121.958085,E,https://www.actransit.org/stop/52871, , , ,0
6196,52873,"Fremont Blvd & Blacow Rd", ,37.524560,-121.957830,E,https://www.actransit.org/stop/52873, , , ,0
6197,52874,"Grimmer Blvd & Carol Av", ,37.527016,-121.969646,E,https://www.actransit.org/stop/52874, , , ,0
6198,52879,"Grimmer Blvd & Seneca Park Av", ,37.516460,-121.967131,E,https://www.actransit.org/stop/52879, , , ,0
6199,52891,"S Grimmer Blvd & Auto Mall Pkwy", ,37.508681,-121.962735,E,https://www.actransit.org/stop/52891, , , ,0
6200,52894,"Broadway & 15th St", ,37.805037,-122.270599,E,https://www.actransit.org/stop/52894, , , ,0
6215,52896,"8475 Edes Av", ,37.740251,-122.194520,E,https://www.actransit.org/stop/52896, , , ,0
6216,52897,"8450 Edes Av", ,37.740858,-122.194770,E,https://www.actransit.org/stop/52897, , , ,0
6217,52902,"Fremont Blvd:Central Av", ,37.556817,-122.004060,E,https://www.actransit.org/stop/52902, , , ,0
6218,52905,"Mission Blvd:Corrine St(Gresel St)", ,37.618978,-122.034450,E,https://www.actransit.org/stop/52905, , , ,0
6220,52909,"Market AV & Powell St", ,37.956813,-122.346792,E,https://www.actransit.org/stop/52909, , , ,0
6221,52915,"Meekland Av & Sunset Blvd", ,37.671349,-122.104138,E,https://www.actransit.org/stop/52915, , , ,0
6222,52919,"Meekland Av & Blossom Way", ,37.676694,-122.109984,E,https://www.actransit.org/stop/52919, , , ,0
6223,52924,"Meekland Av & Blossom Way", ,37.676188,-122.109652,E,https://www.actransit.org/stop/52924, , , ,0
6224,52926,"Meekland Av & Hood St", ,37.680708,-122.113745,E,https://www.actransit.org/stop/52926, , , ,0
6225,52927,"Meekland Av & Medford Av", ,37.680275,-122.113151,E,https://www.actransit.org/stop/52927, , , ,0
6226,52928,"Meekland Av & Paseo Grande", ,37.684760,-122.116700,E,https://www.actransit.org/stop/52928, , , ,0
6227,52934,"Telegraph Av & W MacArthur Blvd", ,37.826162,-122.265407,E,https://www.actransit.org/stop/52934, , , ,0
6228,52935,"Telegraph Av & 45th St", ,37.833317,-122.263232,E,https://www.actransit.org/stop/52935, , , ,0
6229,52939,"Telegraph Av & 51st St", ,37.836910,-122.262515,E,https://www.actransit.org/stop/52939, , , ,0
6230,52942,"Del Norte BART (Bay 3)", ,37.924290,-122.316396,E,https://www.actransit.org/stop/52942, , , ,0
6231,52943,"Del Norte BART Bay 4", ,37.924404,-122.316470,E,https://www.actransit.org/stop/52943, , , ,0
6232,52949,"Del Norte BART (Bay 5)", ,37.924553,-122.316573,E,https://www.actransit.org/stop/52949, , , ,0
6233,52951,"35th Av & Deering St", ,37.787601,-122.210930,E,https://www.actransit.org/stop/52951, , , ,0
6239,52893,"Osgood Rd & Prune Av", ,37.507039,-121.938244,E,https://www.actransit.org/stop/52893, , , ,0
6240,52953,"35th Av & Redding St", ,37.793512,-122.201356,E,https://www.actransit.org/stop/52953, , , ,0
6241,52957,"West Contra Costa Health Center", ,37.956496,-122.337265,E,https://www.actransit.org/stop/52957, , , ,0
6242,52958,"Walnut Av & Paseo Padre Pkwy", ,37.551602,-121.978228,E,https://www.actransit.org/stop/52958, , , ,0
6243,52962,"Walnut Av & Paseo Padre Pkwy", ,37.552276,-121.977420,E,https://www.actransit.org/stop/52962, , , ,0
6244,52967,"Westline Dr & Otis Dr", ,37.766536,-122.271475,E,https://www.actransit.org/stop/52967, , , ,0
6245,52969,"Otis Dr & Larchmont Isle", ,37.765221,-122.267694,E,https://www.actransit.org/stop/52969, , , ,0
6246,52972,"Otis Dr & Larchmont Isle", ,37.764664,-122.266761,E,https://www.actransit.org/stop/52972, , , ,0
6247,52975,"Otis Dr & Grand St", ,37.763333,-122.262619,E,https://www.actransit.org/stop/52975, , , ,0
6248,52976,"Grand St & Otis Dr", ,37.762617,-122.262419,E,https://www.actransit.org/stop/52976, , , ,0
6249,52978,"Willow St & Sandcreek Way", ,37.760527,-122.255030,E,https://www.actransit.org/stop/52978, , , ,0
6250,52979,"E 14th St & 170th Av", ,37.690687,-122.107655,E,https://www.actransit.org/stop/52979, , , ,0
6251,52981,"E 14th St & Elgin St", ,37.691787,-122.109600,E,https://www.actransit.org/stop/52981, , , ,0
6252,52983,"E 14th St & 167th Av", ,37.692473,-122.110181,E,https://www.actransit.org/stop/52983, , , ,0
6253,52986,"E 14th St & 164th Av", ,37.694546,-122.113442,E,https://www.actransit.org/stop/52986, , , ,0
6254,53014,"E 14th St & 164th Av", ,37.695000,-122.113787,E,https://www.actransit.org/stop/53014, , , ,0
6255,53016,"E 14th St & 163rd Av", ,37.696313,-122.115654,E,https://www.actransit.org/stop/53016, , , ,0
6263,53018,"Miles Av & College Av", ,37.845130,-122.252110,E,https://www.actransit.org/stop/53018, , , ,0
6264,53019,"San Pablo Av & Wall Av", ,37.928090,-122.320220,E,https://www.actransit.org/stop/53019, , , ,0
6265,53021,"San Pablo Av & Solano Av", ,37.890550,-122.298910,E,https://www.actransit.org/stop/53021, , , ,0
6266,53025,"Solano Av & Kains Av", ,37.890270,-122.298170,E,https://www.actransit.org/stop/53025, , , ,0
6267,53031,"Telegraph Av & 30th St", ,37.818900,-122.267340,E,https://www.actransit.org/stop/53031, , , ,0
6268,53036,"Telegraph Av & 30th St", ,37.819650,-122.266940,E,https://www.actransit.org/stop/53036, , , ,0
6269,53037,"Telegraph Av & 34th St", ,37.822330,-122.266430,E,https://www.actransit.org/stop/53037, , , ,0
6270,53038,"Telegraph Av & 34th St", ,37.822630,-122.266130,E,https://www.actransit.org/stop/53038, , , ,0
6271,53052,"San Pablo Av & West St", ,37.815030,-122.274900,E,https://www.actransit.org/stop/53052, , , ,0
6272,53057,"E 18th St & Park Blvd", ,37.799360,-122.251170,E,https://www.actransit.org/stop/53057, , , ,0
6273,53058,"Park Blvd & 7th Av", ,37.802310,-122.241360,E,https://www.actransit.org/stop/53058, , , ,0
6274,53059,"Park Blvd & E 28th St", ,37.803030,-122.237020,E,https://www.actransit.org/stop/53059, , , ,0
6275,53063,"Park Blvd & E 28th St", ,37.803160,-122.237340,E,https://www.actransit.org/stop/53063, , , ,0
6276,53067,"Fremont Blvd & Peralta Blvd", ,37.557886,-122.006580,E,https://www.actransit.org/stop/53067, , , ,0
6277,53073,"Blume Dr & Klose Way", ,37.984720,-122.318980,E,https://www.actransit.org/stop/53073, , , ,0
6279,58030,"Klose Way & Hilltop Plaza", ,37.983013,-122.319239,E,https://www.actransit.org/stop/58030, , , ,0
6286,53085,"Shattuck Av & 59th St", ,37.844200,-122.265140,E,https://www.actransit.org/stop/53085, , , ,0
6287,53087,"Shattuck Av & 59th St", ,37.844720,-122.265020,E,https://www.actransit.org/stop/53087, , , ,0
6289,53093,"MacArthur Blvd & Ritchie St", ,37.764850,-122.166650,E,https://www.actransit.org/stop/53093, , , ,0
6290,53095,"MacArthur Blvd & Ritchie St", ,37.764430,-122.166540,E,https://www.actransit.org/stop/53095, , , ,0
6291,53098,"MacArthur Blvd & 82nd St", ,37.762940,-122.165000,E,https://www.actransit.org/stop/53098, , , ,0
6292,53102,"Shoreline Dr & Kitty Hawk Rd", ,37.758510,-122.261290,E,https://www.actransit.org/stop/53102, , , ,0
6293,53106,"S Grimmer Blvd & Wisdom Way", ,37.503070,-121.945560,E,https://www.actransit.org/stop/53106, , , ,0
6294,53107,"San Pablo Av & 35th St", ,37.826201,-122.278489,E,https://www.actransit.org/stop/53107, , , ,0
6295,53108,"Broadway & 12th St", ,37.803207,-122.271772,E,https://www.actransit.org/stop/53108, , , ,0
6296,53109,"Foothill Blvd & 8th Av", ,37.795135,-122.249716,E,https://www.actransit.org/stop/53109, , , ,0
6297,53124,"E 15th & 8th Av", ,37.794010,-122.250315,E,https://www.actransit.org/stop/53124, , , ,0
6298,57505,"23rd Av & International Blvd", ,37.783594,-122.235871,E,https://www.actransit.org/stop/57505, , , ,0
6299,53126,"Sacramento St & Virginia St (North Berkeley BART)", ,37.874559,-122.282611,E,https://www.actransit.org/stop/53126, , , ,0
6300,53127,"S Grimmer Blvd & Old Warm Springs Blvd", ,37.504040,-121.944000,E,https://www.actransit.org/stop/53127, , , ,0
6301,50926,"Camden St & 62nd Av (Frick Middle School)", ,37.773455,-122.183288,E,https://www.actransit.org/stop/50926, , , ,0
6302,50931,"Camden St & 62nd Av", ,37.773589,-122.183250,E,https://www.actransit.org/stop/50931, , , ,0
6303,50936,"Camden St & 64th Av", ,37.772152,-122.181867,E,https://www.actransit.org/stop/50936, , , ,0
6304,50961,"Camden St & 64th Av (Frick Middle School)", ,37.772288,-122.181827,E,https://www.actransit.org/stop/50961, , , ,0
6305,53129,"Campus Dr & Oakes Dr", ,37.665981,-122.056649,E,https://www.actransit.org/stop/53129, , , ,0
6306,53136,"University Av & Grant St", ,37.871364,-122.275647,E,https://www.actransit.org/stop/53136, , , ,0
6307,53137,"Hollis St & 45th St", ,37.832133,-122.286251,E,https://www.actransit.org/stop/53137, , , ,0
6308,53138,"Macdonald Av & 33rd St", ,37.934427,-122.337391,E,https://www.actransit.org/stop/53138, , , ,0
6309,53139,"S 37th St & Cutting Blvd", ,37.925812,-122.334242,E,https://www.actransit.org/stop/53139, , , ,0
6312,53141,"Huntwood Av & Celia St", ,37.629962,-122.062258,E,https://www.actransit.org/stop/53141, , , ,0
6316,53161,"Mandela Pkwy & W Grand AV", ,37.816472,-122.289222,E,https://www.actransit.org/stop/53161, , , ,0
6317,53163,"Broadway & 14th St", ,37.804796,-122.271027,E,https://www.actransit.org/stop/53163, , , ,0
6318,53167,"The Alameda & Hopkins St", ,37.885169,-122.274794,E,https://www.actransit.org/stop/53167, , , ,0
6319,53171,"Decoto Rd & Perry Rd", ,37.583805,-122.022637,E,https://www.actransit.org/stop/53171, , , ,0
6320,53173,"Decoto Rd & Paseo Padre Pkwy", ,37.576645,-122.027408,E,https://www.actransit.org/stop/53173, , , ,0
6321,53175,"Washington Blvd & Driscoll Rd", ,37.533494,-121.952828,E,https://www.actransit.org/stop/53175, , , ,0
6324,53176,"San Pablo Av & Road 20", ,37.962496,-122.345094,E,https://www.actransit.org/stop/53176, , , ,0
6325,53178,"San Pablo Av & Parker St", ,37.859579,-122.288939,E,https://www.actransit.org/stop/53178, , , ,0
6326,53181,"San Pablo Av & Parker St", ,37.859067,-122.289050,E,https://www.actransit.org/stop/53181, , , ,0
6327,53183,"MacDonald Av & 20th St", ,37.935630,-122.350109,E,https://www.actransit.org/stop/53183, , , ,0
6328,53185,"Decoto Rd & Fremont Blvd", ,37.570601,-122.032974,E,https://www.actransit.org/stop/53185, , , ,0
6329,53187,"Decoto Rd & Fremont Blvd", ,37.571286,-122.031881,E,https://www.actransit.org/stop/53187, , , ,0
6330,53191,"West Oakland BART", ,37.804723,-122.295380,E,https://www.actransit.org/stop/53191, , , ,0
6331,53193,"West Oakland BART", ,37.804684,-122.295221,E,https://www.actransit.org/stop/53193, , , ,0
6332,57064,"Foothill Blvd & 106th Av", ,37.744360,-122.149241,E,https://www.actransit.org/stop/57064, , , ,0
6333,53159,"Schmidt Ln & Richmond St", ,37.916012,-122.306234,E,https://www.actransit.org/stop/53159, , , ,0
6334,53195,"Elm St & Key Blvd", ,37.925637,-122.313951,E,https://www.actransit.org/stop/53195, , , ,0
6336,53201,"Seminary Av & Div 4 Gate", ,37.761491,-122.204494,E,https://www.actransit.org/stop/53201, , , ,0
6337,53207,"Benicia St & Auburn St", ,37.482562,-121.932280,E,https://www.actransit.org/stop/53207, , , ,0
6338,53209,"Thornhill Dr & Mountain Blvd", ,37.832453,-122.214825,E,https://www.actransit.org/stop/53209, , , ,0
6339,53214,"Decoto Rd & Paseo Padre Pkwy", ,37.577280,-122.026434,E,https://www.actransit.org/stop/53214, , , ,0
6340,53247,"Warm Springs BART", ,37.501870,-121.937963,E,https://www.actransit.org/stop/53247, , , ,0
6341,53261,"Walnut Av & Godfrey St", ,37.563645,-121.964014,E,https://www.actransit.org/stop/53261, , , ,0
6349,53208,"Union Landing Transit Center", ,37.598778,-122.065750,E,https://www.actransit.org/stop/53208, , , ,0
6350,53262,"Fairway Dr & Monarch Bay Dr", ,37.695978,-122.186095,E,https://www.actransit.org/stop/53262, , , ,0
6351,53263,"Landing Pkwy & Warren Av", ,37.482941,-121.942028,E,https://www.actransit.org/stop/53263, , , ,0
6352,53267,"Hollis St & 67th St", ,37.848617,-122.292184,E,https://www.actransit.org/stop/53267, , , ,0
6354,53271,"MacArthur Blvd & Castlemont High School", ,37.760220,-122.163164,E,https://www.actransit.org/stop/53271, , , ,0
6355,53274,"MacArthur Blvd & Castlemont High School", ,37.760258,-122.162973,E,https://www.actransit.org/stop/53274, , , ,0
6356,53276,"Campus Dr & Highland Blvd", ,37.661720,-122.058121,E,https://www.actransit.org/stop/53276, , , ,0
6357,53278,"Piedmont Ave & Bancroft Way", ,37.869404,-122.252112,E,https://www.actransit.org/stop/53278, , , ,0
6358,53279,"High St & Porter St", ,37.785984,-122.197668,E,https://www.actransit.org/stop/53279, , , ,0
6359,53281,"High St & Foothill Blvd", ,37.774836,-122.211515,E,https://www.actransit.org/stop/53281, , , ,0
6360,53286,"High St & Carrington St", ,37.776737,-122.209840,E,https://www.actransit.org/stop/53286, , , ,0
6361,53287,"High St & Carrington St", ,37.776979,-122.209373,E,https://www.actransit.org/stop/53287, , , ,0
6362,53289,"High St & Fleming Av", ,37.783917,-122.201328,E,https://www.actransit.org/stop/53289, , , ,0
6363,53291,"High St & Fleming Av", ,37.783735,-122.202064,E,https://www.actransit.org/stop/53291, , , ,0
6364,53292,"High St & Virginia Av", ,37.784693,-122.199829,E,https://www.actransit.org/stop/53292, , , ,0
6365,53293,"High St & Virginia Av", ,37.784756,-122.200042,E,https://www.actransit.org/stop/53293, , , ,0
6366,53295,"Rumrill Blvd & Pine Av", ,37.955469,-122.356771,E,https://www.actransit.org/stop/53295, , , ,0
6367,53296,"Rumrill Blvd & Folsom Av", ,37.962105,-122.355692,E,https://www.actransit.org/stop/53296, , , ,0
6368,53297,"Rumrill Blvd & Brookside Dr", ,37.964119,-122.354610,E,https://www.actransit.org/stop/53297, , , ,0
6369,53298,"Rumrill Blvd & Broadway", ,37.968679,-122.344841,E,https://www.actransit.org/stop/53298, , , ,0
6370,53401,"Rumrill Blvd & Broadway", ,37.968545,-122.345724,E,https://www.actransit.org/stop/53401, , , ,0
6371,53402,"Rumrill Blvd & Folsom Av", ,37.961434,-122.356279,E,https://www.actransit.org/stop/53402, , , ,0
6372,53406,"Rumrill Blvd & Chesley Av", ,37.954444,-122.357052,E,https://www.actransit.org/stop/53406, , , ,0
6373,53407,"Rumrill Blvd & Sanford Av", ,37.950576,-122.357257,E,https://www.actransit.org/stop/53407, , , ,0
6374,53408,"Rumrill Blvd & 17th St", ,37.966772,-122.349969,E,https://www.actransit.org/stop/53408, , , ,0
6375,53416,"Emeryville Amtrak", ,37.840417,-122.291639,E,https://www.actransit.org/stop/53416, , , ,0
6376,53417,"Landing Parkway & Fremont Blvd", ,37.488412,-121.946326,E,https://www.actransit.org/stop/53417, , , ,0
6377,53418,"Auto Mall Parkway & Grimmer Blvd", ,37.509464,-121.961990,E,https://www.actransit.org/stop/53418, , , ,0
6378,53419,"Auto Mall Parkway & Grimmer Blvd", ,37.509948,-121.961673,E,https://www.actransit.org/stop/53419, , , ,0
6379,53421,"13500 Skyline Blvd", ,37.785372,-122.143902,E,https://www.actransit.org/stop/53421, , , ,0
6380,53426,"Osgood Rd & Skyway Ct", ,37.511906,-121.940821,E,https://www.actransit.org/stop/53426, , , ,0
6381,53427,"Osgood Rd & Skyway Ct", ,37.511715,-121.940945,E,https://www.actransit.org/stop/53427, , , ,0
6384,53468,"Oxford St & Berkeley Way", ,37.873649,-122.266081,E,https://www.actransit.org/stop/53468, , , ,0
6385,53469,"Mission Blvd & E Lewelling Blvd", ,37.687988,-122.104183,E,https://www.actransit.org/stop/53469, , , ,0
6386,53478,"Decoto Rd & Alvarado-Niles Rd", ,37.588103,-122.021151,E,https://www.actransit.org/stop/53478, , , ,0
6387,53479,"Decoto Rd & Alvarado-Niles Rd", ,37.586797,-122.021918,E,https://www.actransit.org/stop/53479, , , ,0
6389,51243,"Pierce St & Solano Av", ,37.889187,-122.305777,E,https://www.actransit.org/stop/51243, , , ,0
6390,53492,"W Grand Av & Market St", ,37.814727,-122.278946,E,https://www.actransit.org/stop/53492, , , ,0
6391,53496,"Market St & Grand Av", ,37.814896,-122.278419,E,https://www.actransit.org/stop/53496, , , ,0
6392,53497,"W Grand Av & Adeline St", ,37.815852,-122.284577,E,https://www.actransit.org/stop/53497, , , ,0
6393,53498,"W Grand Av & Adeline St", ,37.815295,-122.283389,E,https://www.actransit.org/stop/53498, , , ,0
6394,53502,"Adeline St & W Grand Av", ,37.815042,-122.284307,E,https://www.actransit.org/stop/53502, , , ,0
6395,53504,"W Grand Ave & Mandela Parkway", ,37.816488,-122.288628,E,https://www.actransit.org/stop/53504, , , ,0
6396,53506,"20th St & Peralta St", ,37.815289,-122.290452,E,https://www.actransit.org/stop/53506, , , ,0
6397,53507,"Peralta & 16th St", ,37.812563,-122.293135,E,https://www.actransit.org/stop/53507, , , ,0
6398,53508,"Peralta & 16th St", ,37.812913,-122.292627,E,https://www.actransit.org/stop/53508, , , ,0
6399,53509,"Adeline St & 24th St", ,37.817387,-122.283209,E,https://www.actransit.org/stop/53509, , , ,0
6400,53514,"MacArthur Blvd & Alma Av (Oakland High School)", ,37.805404,-122.236950,E,https://www.actransit.org/stop/53514, , , ,0
6401,53516,"MacArthur Blvd & Alma Av (Oakland High School)", ,37.805661,-122.237150,E,https://www.actransit.org/stop/53516, , , ,0
6402,53517,"Oxford St & Center St", ,37.871087,-122.265800,E,https://www.actransit.org/stop/53517, , , ,0
6403,53518,"Shellmound St & Ohlone Way", ,37.834560,-122.292948,E,https://www.actransit.org/stop/53518, , , ,0
6404,53519,"Gayley Rd & Stadium Rimway", ,37.872608,-122.253992,E,https://www.actransit.org/stop/53519, , , ,0
6405,53524,"Dana St & Haste St", ,37.865482,-122.260885,E,https://www.actransit.org/stop/53524, , , ,0
2,52246,"8th St & Portola Av", ,37.768814,-122.272992,E,https://www.actransit.org/stop/52246, , , ,0
3,57793,"8th St & Portola Av", ,37.768993,-122.272798,E,https://www.actransit.org/stop/57793, , , ,0
7,56711,"Aughinbaugh Way & Kofman Pkwy", ,37.741713,-122.250125,E,https://www.actransit.org/stop/56711, , , ,0
8,55876,"Aughinbaugh Way & Mecartney Rd", ,37.738745,-122.252140,E,https://www.actransit.org/stop/55876, , , ,0
9,55852,"Aughinbaugh Way & Mecartney Rd", ,37.738463,-122.251960,E,https://www.actransit.org/stop/55852, , , ,0
10,52110,"Aughinbaugh Way & Robert Davey Jr Dr", ,37.742485,-122.250108,E,https://www.actransit.org/stop/52110, , , ,0
11,55487,"Aughinbaugh Way & Robert Davey Jr Dr", ,37.742889,-122.249962,E,https://www.actransit.org/stop/55487, , , ,0
12,56504,"Aughinbaugh Way & The Lagoon", ,37.740936,-122.251036,E,https://www.actransit.org/stop/56504, , , ,0
13,52420,"Aughinbaugh Way & The Lagoon", ,37.740519,-122.251191,E,https://www.actransit.org/stop/52420, , , ,0
14,55987,"Blanding Av & Broadway", ,37.768581,-122.233770,E,https://www.actransit.org/stop/55987, , , ,0
15,56668,"Blanding Av & Broadway", ,37.768741,-122.233731,E,https://www.actransit.org/stop/56668, , , ,0
16,52249,"Broadway & Santa Clara Av", ,37.763731,-122.238062,E,https://www.actransit.org/stop/52249, , , ,0
17,51545,"Broadway & Tilden Way", ,37.767460,-122.235163,E,https://www.actransit.org/stop/51545, , , ,0
18,54233,"Central Av & 8th St", ,37.771430,-122.273254,E,https://www.actransit.org/stop/54233, , , ,0
19,54330,"Central Av & 8th St", ,37.771233,-122.273248,E,https://www.actransit.org/stop/54330, , , ,0
20,58331,"Central Av & Bay St", ,37.771199,-122.264952,E,https://www.actransit.org/stop/58331, , , ,0
21,57978,"Central Av & Bay St", ,37.771047,-122.264888,E,https://www.actransit.org/stop/57978, , , ,0
22,59430,"Central Av & Weber St", ,37.771152,-122.269209,E,https://www.actransit.org/stop/59430, , , ,0
23,59865,"Central Av & Weber St", ,37.771330,-122.269182,E,https://www.actransit.org/stop/59865, , , ,0
24,53365,"Central Av & Webster St", ,37.771353,-122.276397,E,https://www.actransit.org/stop/53365, , , ,0
25,58996,"Challenger Dr & Atlantic Av", ,37.781464,-122.270789,E,https://www.actransit.org/stop/58996, , , ,0
26,59123,"Encinal Av & Alameda High School", ,37.763760,-122.246857,E,https://www.actransit.org/stop/59123, , , ,0
27,56758,"Encinal Av & Benton St", ,37.770259,-122.261727,E,https://www.actransit.org/stop/56758, , , ,0
28,53040,"Encinal Av & Chestnut St", ,37.766815,-122.253786,E,https://www.actransit.org/stop/53040, , , ,0
29,52664,"Encinal Av & Chestnut St", ,37.766745,-122.254144,E,https://www.actransit.org/stop/52664, , , ,0
30,56340,"Encinal Av & Fountain St", ,37.756696,-122.234717,E,https://www.actransit.org/stop/56340, , , ,0
31,52994,"Encinal Av & Grand St", ,37.768792,-122.258387,E,https://www.actransit.org/stop/52994, , , ,0
32,51213,"Encinal Av & Grand St", ,37.768609,-122.258366,E,https://www.actransit.org/stop/51213, , , ,0
33,56589,"Encinal Av & High St", ,37.756284,-122.234395,E,https://www.actransit.org/stop/56589, , , ,0
